ticket_id,subject,scorer_category,score,dataset_label,reviewer_agrees(y/n),notes
T00000,Customer Support Inquiry,Medium,39,medium,,
T00476,Problems with Digital Tools,Medium,38,high,,
T00952,,Low,29,medium,,
T01428,Enquiry on Payment Options for Medical Data Services,Medium,38,medium,,
T01904,,Medium,39,high,,
T02380,Health Information Leak,Low,28,high,,
T02856,,Critical,100,high,,
T03332,Request for Guidance on Jenkins Integration,Medium,39,medium,,
T03808,Streamline Integration of Google Keep Notes,Medium,38,high,,
T04284,Unaddressed Unauthorized Access Alerts in Medical Data Systems,Medium,38,medium,,
T04760,Report on Inaccurate Investment Forecasts,Medium,49,low,,
T05236,Problem with Network and Digital Tools,Critical,100,low,,
T05712,Support Security Issue,Critical,100,medium,,
T06188,,Critical,92,high,,
T06664,Marketing Campaign Performance Inquiry,Medium,38,high,,
T07140,Sudden Decline in Digital Campaign Engagement,Medium,38,medium,,
T07616,Assistance with Gaming Strategies,Low,29,medium,,
T08092,Data analytics platform encountered an unexpected crash,Critical,100,high,,
T08568,System Performance Problem,Medium,52,high,,
T09044,Data Breach in Patient Records Identified,Critical,100,high,,
T09520,Assistance with Digital Promotion Tactics for Udemy Courses,Low,29,low,,
T09996,Improve Digital Marketing Tactics Online,Medium,52,high,,
T10472,Integration Capabilities Inquiry,Medium,49,medium,,
T10948,Inquiry on Security Protocols for Medical Data on iMac,High,78,medium,,
T11424,Request for Data Security Solutions in Healthcare Providers and Hospital Systems,High,65,medium,,
